image_name,buffer,transcript,average_snr,snr_stdv,lower_95_confidence,upper_95_confidence
210127_Image_01,Stellaris,erm-1,7.318810852,2.542372462,7.235490074,7.402131629
210127_Image_02,Stellaris,erm-1,8.462109112,2.823799217,8.274855452,8.649362772
210127_Image_03,Stellaris,erm-1,7.64611313,2.81550825,7.514260169,7.777966092
210127_Image_04,Stellaris,erm-1,7.227570675,2.371724198,7.14541641,7.309724939
210127_Image_05,Stellaris,erm-1,7.110132498,2.581621661,7.022311345,7.197953651
210209_Image_01,Stellaris,erm-1,7.350233877,2.974002817,7.243929022,7.456538732
210209_Image_02,Stellaris,erm-1,7.142109463,2.914426211,7.041329499,7.242889427
210209_image_03,Stellaris,erm-1,6.446511235,2.803291706,6.324612439,6.568410032
210209_image_04,Stellaris,erm-1,7.968776928,3.326394431,7.806874777,8.130679079
210209_Image_05,Stellaris,erm-1,9.318468177,3.236428701,9.02941428,9.607522075
210214_Image_01,Stellaris,erm-1,9.972219149,3.726889373,9.685618125,10.25882017
210214_Image_02,Stellaris,erm-1,7.813642577,3.431341153,7.687234656,7.940050498
210214_Image_03,Stellaris,erm-1,9.043229596,3.584263806,8.820920898,9.265538294
210214_Image_04,Stellaris,erm-1,8.546802437,3.43065383,8.381148521,8.712456354
210214_Image_05,Stellaris,erm-1,8.184109902,3.46377272,8.025696274,8.342523531
210127_Image_02,Homebrew,erm-1,7.819967692,3.414925236,7.695606023,7.944329361
210127_Image_03,Homebrew,erm-1,7.805887715,3.155922449,7.678387787,7.933387643
210127_Image_04,Homebrew,erm-1,7.30504931,2.951523264,7.190639143,7.419459477
210127_Image_05,Homebrew,erm-1,7.01979465,2.990942635,6.898339099,7.1412502
210127_Image_06,Homebrew,erm-1,6.808923912,2.836206479,6.707746258,6.910101566
210209_Image_01,Homebrew,erm-1,6.509773187,2.433737479,6.423705343,6.59584103
210209_Image_02,Homebrew,erm-1,5.767655669,2.363179657,5.682788403,5.852522935
210209_Image_03,Homebrew,erm-1,6.170889291,2.437620147,6.071107366,6.270671216
210209_Image_04,Homebrew,erm-1,6.61836824,2.730131483,6.520091649,6.716644831
